customer_id,customer_name,segment,industry,state,status
CUST0001,Customer 001,SMB,Education,CO,Active
CUST0002,Customer 002,SMB,Professional Services,FL,Active
CUST0003,Customer 003,SMB,Healthcare,TX,Active
CUST0004,Customer 004,SMB,Healthcare,UT,Active
CUST0005,Customer 005,Mid-Market,Retail,NY,Active
CUST0006,Customer 006,Mid-Market,Manufacturing,IL,Active
CUST0007,Customer 007,SMB,Real Estate,NY,Active
CUST0008,Customer 008,Enterprise,Healthcare,WA,Active
CUST0009,Customer 009,SMB,Professional Services,CA,Active
CUST0010,Customer 010,SMB,Education,NY,Active
CUST0011,Customer 011,Mid-Market,Real Estate,FL,Active
CUST0012,Customer 012,Retail,Professional Services,UT,Active
CUST0013,Customer 013,Enterprise,Education,FL,Active
CUST0014,Customer 014,Enterprise,Manufacturing,NJ,Active
CUST0015,Customer 015,Mid-Market,Technology,TX,Active
CUST0016,Customer 016,Enterprise,Retail,GA,Active
CUST0017,Customer 017,Enterprise,Manufacturing,IL,Active
CUST0018,Customer 018,Mid-Market,Healthcare,GA,Active
CUST0019,Customer 019,Retail,Education,IL,Active
CUST0020,Customer 020,Mid-Market,Education,WA,Active
CUST0021,Customer 021,Enterprise,Education,GA,Active
CUST0022,Customer 022,Retail,Hospitality,NY,Active
CUST0023,Customer 023,Mid-Market,Healthcare,WA,Active
CUST0024,Customer 024,Enterprise,Real Estate,IL,Active
CUST0025,Customer 025,Mid-Market,Real Estate,GA,Active
CUST0026,Customer 026,SMB,Hospitality,IL,Active
CUST0027,Customer 027,Enterprise,Hospitality,WA,Active
CUST0028,Customer 028,SMB,Retail,UT,Active
CUST0029,Customer 029,SMB,Manufacturing,FL,Active
CUST0030,Customer 030,Retail,Manufacturing,CA,Active
CUST0031,Customer 031,Enterprise,Retail,TX,Active
CUST0032,Customer 032,SMB,Professional Services,UT,Active
CUST0033,Customer 033,Retail,Manufacturing,GA,Active
CUST0034,Customer 034,Retail,Healthcare,WA,Active
CUST0035,Customer 035,Mid-Market,Retail,CA,Active
CUST0036,Customer 036,Retail,Professional Services,FL,Active
CUST0037,Customer 037,Mid-Market,Manufacturing,WA,Active
CUST0038,Customer 038,Enterprise,Manufacturing,NJ,Active
CUST0039,Customer 039,SMB,Healthcare,NY,Active
CUST0040,Customer 040,SMB,Technology,GA,Active
CUST0041,Customer 041,Retail,Retail,FL,Active
CUST0042,Customer 042,Mid-Market,Hospitality,WA,Active
CUST0043,Customer 043,Retail,Education,NJ,Active
CUST0044,Customer 044,SMB,Technology,FL,Active
CUST0045,Customer 045,Enterprise,Retail,NY,Active
CUST0046,Customer 046,Mid-Market,Technology,NJ,Active
CUST0047,Customer 047,SMB,Real Estate,CO,Active
CUST0048,Customer 048,Retail,Hospitality,FL,Active
CUST0049,Customer 049,Retail,Education,UT,Active
CUST0050,Customer 050,SMB,Manufacturing,UT,Active
CUST0051,Customer 051,Mid-Market,Retail,IL,Active
CUST0052,Customer 052,Mid-Market,Education,CA,Active
CUST0053,Customer 053,Enterprise,Hospitality,CO,Active
CUST0054,Customer 054,Enterprise,Real Estate,WA,Active
CUST0055,Customer 055,Mid-Market,Technology,CO,Active
CUST0056,Customer 056,Retail,Hospitality,TX,Active
CUST0057,Customer 057,Enterprise,Healthcare,WA,Active
CUST0058,Customer 058,Mid-Market,Education,FL,Active
CUST0059,Customer 059,Retail,Professional Services,FL,Active
CUST0060,Customer 060,Mid-Market,Healthcare,CO,Active
CUST0061,Customer 061,Mid-Market,Real Estate,FL,Active
CUST0062,Customer 062,SMB,Real Estate,NJ,Active
CUST0063,Customer 063,Retail,Real Estate,TX,Active
CUST0064,Customer 064,Retail,Real Estate,NY,Active
CUST0065,Customer 065,Mid-Market,Retail,FL,Active
CUST0066,Customer 066,Retail,Hospitality,NY,Active
CUST0067,Customer 067,Retail,Healthcare,NY,Active
CUST0068,Customer 068,Mid-Market,Retail,GA,Active
CUST0069,Customer 069,SMB,Healthcare,TX,Active
CUST0070,Customer 070,Mid-Market,Hospitality,WA,Active
CUST0071,Customer 071,Mid-Market,Hospitality,UT,Active
