item_id,item_name,category,subcategory,list_price,standard_cost,tier,status
ITEM0001,Desk 01,Office Furniture,Desk,621.88,302.24,Premium,Active
ITEM0002,Desk 02,Office Furniture,Desk,262.85,134.97,Standard,Active
ITEM0003,Desk 03,Office Furniture,Desk,655.8,455.21,Standard,Active
ITEM0004,Desk 04,Office Furniture,Desk,577.35,281.53,Standard,Active
ITEM0005,Desk 05,Office Furniture,Desk,238.96,143.68,Standard,Active
ITEM0006,Chair 01,Office Furniture,Chair,550.73,358.99,Value,Active
ITEM0007,Chair 02,Office Furniture,Chair,535.9,285.58,Value,Active
ITEM0008,Chair 03,Office Furniture,Chair,293.15,201.87,Standard,Active
ITEM0009,Chair 04,Office Furniture,Chair,675.31,379.29,Standard,Active
ITEM0010,Chair 05,Office Furniture,Chair,235.94,156.48,Standard,Active
ITEM0011,Storage 01,Office Furniture,Storage,124.4,62.6,Premium,Active
ITEM0012,Storage 02,Office Furniture,Storage,589.39,397.08,Value,Active
ITEM0013,Storage 03,Office Furniture,Storage,458.08,233.6,Premium,Active
ITEM0014,Storage 04,Office Furniture,Storage,111.71,61.48,Value,Active
ITEM0015,Storage 05,Office Furniture,Storage,602.85,414.04,Value,Active
ITEM0016,Conference Table 01,Office Furniture,Conference Table,214.98,106.78,Value,Active
ITEM0017,Conference Table 02,Office Furniture,Conference Table,247.39,135.93,Standard,Active
ITEM0018,Conference Table 03,Office Furniture,Conference Table,818.34,562.98,Premium,Active
ITEM0019,Conference Table 04,Office Furniture,Conference Table,292.96,185.32,Premium,Active
ITEM0020,Conference Table 05,Office Furniture,Conference Table,188.02,106.28,Value,Active
ITEM0021,Pendant 01,Lighting,Pendant,282.95,199.42,Value,Active
ITEM0022,Pendant 02,Lighting,Pendant,104.98,66.39,Value,Active
ITEM0023,Pendant 03,Lighting,Pendant,703.51,365.27,Premium,Active
ITEM0024,Pendant 04,Lighting,Pendant,285.65,200.55,Value,Active
ITEM0025,Pendant 05,Lighting,Pendant,546.82,352.32,Standard,Active
ITEM0026,Floor Lamp 01,Lighting,Floor Lamp,248.43,121.16,Premium,Active
ITEM0027,Floor Lamp 02,Lighting,Floor Lamp,405.06,200.86,Value,Active
ITEM0028,Floor Lamp 03,Lighting,Floor Lamp,837.49,465.24,Value,Active
ITEM0029,Floor Lamp 04,Lighting,Floor Lamp,494.3,342.22,Value,Active
ITEM0030,Floor Lamp 05,Lighting,Floor Lamp,457.56,248.72,Standard,Active
ITEM0031,Desk Lamp 01,Lighting,Desk Lamp,717.94,437.48,Value,Active
ITEM0032,Desk Lamp 02,Lighting,Desk Lamp,571.97,397.79,Premium,Active
ITEM0033,Desk Lamp 03,Lighting,Desk Lamp,369.42,265.75,Standard,Active
ITEM0034,Desk Lamp 04,Lighting,Desk Lamp,503.67,252.75,Standard,Active
ITEM0035,Desk Lamp 05,Lighting,Desk Lamp,823.6,425.54,Standard,Active
ITEM0036,Wall Light 01,Lighting,Wall Light,760.79,442.26,Standard,Active
ITEM0037,Wall Light 02,Lighting,Wall Light,390.14,243.06,Premium,Active
ITEM0038,Wall Light 03,Lighting,Wall Light,521.49,371.85,Standard,Active
ITEM0039,Wall Light 04,Lighting,Wall Light,659.06,334.47,Value,Active
ITEM0040,Wall Light 05,Lighting,Wall Light,723.3,480.61,Premium,Active
ITEM0041,Mirror 01,Home Decor,Mirror,141.51,82.69,Premium,Active
ITEM0042,Mirror 02,Home Decor,Mirror,42.95,28.06,Value,Active
ITEM0043,Mirror 03,Home Decor,Mirror,279.68,167.85,Standard,Active
ITEM0044,Mirror 04,Home Decor,Mirror,501.99,253.78,Value,Active
ITEM0045,Mirror 05,Home Decor,Mirror,311.58,197.34,Value,Active
